№ лота,Код ТРУ,Наименование товара,Наименование объявления,Наименование и описание лота,Кол-во,"Сумма, тг.",Способ закупки,Статус
78489303-ЗЦП2,282512.700.000000,"Установка приточная для вентиляции, производительность 3 000 м3/час",14568169-1 01. Установка приточная для подачи воздуха в производственное помещение. Согласно технической спецификации. (отдел 410) - 253,Установка приточная,1,1 225 759.00,Запрос ценовых предложений,Закупка не состоялась
78489303-ЗЦП1,282512.700.000000,"Установка приточная для вентиляции, производительность 3 000 м3/час",14496584-1 01. Установка приточная для подачи воздуха в производственное помещение. Согласно технической спецификации. (отдел 410) - 253,Установка приточная,1,1 225 759.00,Запрос ценовых предложений,Закупка не состоялась
77898794-ОК5,282512.700.000001,"Установка приточная для вентиляции, производительность 6 800 м3/час",14742647-1 Поставка оборудования системы вентиляции с сопутствующими услугами,Установка приточная,1,12 808 950.00,Открытый конкурс,Закупка состоялась
77898794-ОК4,282512.700.000001,"Установка приточная для вентиляции, производительность 6 800 м3/час",14572130-1 Поставка оборудования системы вентиляции с сопутствующими услугами,Установка приточная,1,12 808 950.00,Открытый конкурс,Закупка не состоялась
77898794-ОК3,282512.700.000001,"Установка приточная для вентиляции, производительность 6 800 м3/час",14516918-1 Поставка оборудования системы вентиляции с сопутствующими услугами,Установка приточная,1,12 808 950.00,Открытый конкурс,Закупка не состоялась
77898794-ОК2,282512.700.000001,"Установка приточная для вентиляции, производительность 6 800 м3/час",14346905-1 Поставка оборудования системы вентиляции с сопутствующими услугами,Установка приточная,1,12 808 950.00,Открытый конкурс,Закупка не состоялась
77898794-ОК1,282512.700.000001,"Установка приточная для вентиляции, производительность 6 800 м3/час",14262492-1 Поставка оборудования системы вентиляции с сопутствующими услугами,Установка приточная,1,12 808 950.00,Открытый конкурс,Отменен
81695985-ЗЦП2,282520.300.000001,"Вентилятор осевой, одноступенчатый, диаметр 300-800 мм",15829731-1 Объявление государственных закупок,Вентилятор,1,196 428.57,Запрос ценовых предложений,Отменен
81586464-ЗЦП2,282520.300.000001,"Вентилятор осевой, одноступенчатый, диаметр 300-800 мм","15810100-1 Товары Отдела ТВКВиК (теплоснабжения, вентиляции, кондиционирования, водоснабжения и канализации)",Вентилятор,1,197 366.00,Запрос ценовых предложений,Закупка не состоялась
81695985-ЗЦП1,282520.300.000001,"Вентилятор осевой, одноступенчатый, диаметр 300-800 мм",15809849-1 Объявление государственных закупок,Вентилятор,1,196 428.57,Запрос ценовых предложений,Закупка не состоялась
81586464-ЗЦП1,282520.300.000001,"Вентилятор осевой, одноступенчатый, диаметр 300-800 мм","15796946-1 Товары Отдела ТВКВиК (теплоснабжения, вентиляции, кондиционирования, водоснабжения и канализации)",Вентилятор,1,197 366.00,Запрос ценовых предложений,Закупка не состоялась
