№ лота,Код ТРУ,Наименование товара,Наименование объявления,Наименование и описание лота,Кол-во,"Сумма, тг.",Способ закупки,Статус
77621468-ОИ2,281314.900.000071,"Насос для химически активных и агрессивных жидкостей, консольный одноступенчатый, подача до 500 м3/ч",14160841-1 н а с о с,Насос,1,18 500 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
38125813-ОЛ-ЗЦП1,282530.100.000002,"Фильтр воздушный, для приточно-вытяжной вентиляционной установки, карманный",15424406-1 Приобретение запасных частей,Запасные части,22,30 698 159.94,Запрос ценовых предложений,Закупка состоялась
80198506-ОК1,329911.900.000014,Противогаз фильтрующий,15600104-1 Приобретение фильтрующих гражданских противогазов,Противогаз,589,50 215 784.00,Открытый конкурс,Закупка состоялась
74919160-ЗЦП9,329911.900.000014,Противогаз фильтрующий,15421389-1 Закуп противогазов фильтрующих,Противогаз,1262,23 978 000.00,Запрос ценовых предложений,Закупка состоялась
74919160-ОИ8,329911.900.000014,Противогаз фильтрующий,15195521-1 Закуп противогазов фильтрующих,Противогаз,1262,23 978 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
79360314-ОК1,329911.900.000014,Противогаз фильтрующий,14959205-2 Приобретение фильтрующих гражданских противогазов (согл.тех.спец),Противогаз,500,36 767 500.00,Открытый конкурс,Закупка состоялась
74919160-ЗЦП1,329911.900.000014,Противогаз фильтрующий,14708713-1 Приобретение гражданских противогазов,Противогаз,1262,23 978 000.00,Запрос ценовых предложений,Закупка состоялась
73500519-ОК2,329911.900.000014,Противогаз фильтрующий,14145205-1 Приобретение противогаза фильтрующего,Противогаз,2032,58 199 020.00,Открытый конкурс,Закупка состоялась
73458964-ОК3,281314.900.000076,"Насос для химически активных и агрессивных жидкостей, погружной вертикальный, подача до 500 м3/ч",15127220-2 Погружной насосный агрегат (по лотам),Насос,1,79 981 593.75,Открытый конкурс,Закупка состоялась
73343629-ОК2,281314.900.000076,"Насос для химически активных и агрессивных жидкостей, погружной вертикальный, подача до 500 м3/ч",15085430-1 Погружной насосный агрегат,Насос,1,40 259 756.25,Открытый конкурс,Закупка состоялась
79225699-ОК2,281314.900.000076,"Насос для химически активных и агрессивных жидкостей, погружной вертикальный, подача до 500 м3/ч",14987472-2 Погружной насосный агрегат в комплекте с щитом управления,Насос,1,23 408 300.00,Открытый конкурс,Закупка состоялась
73458934-ОК3,281314.900.000076,"Насос для химически активных и агрессивных жидкостей, погружной вертикальный, подача до 500 м3/ч",14138845-1 Погружной насосный агрегат,Насос,3,48 496 125.00,Открытый конкурс,Закупка состоялась
73458964-ОК2,281314.900.000076,"Насос для химически активных и агрессивных жидкостей, погружной вертикальный, подача до 500 м3/ч",14082229-1 Погружной насосный агрегат (по лотам),Насос,1,79 981 593.75,Открытый конкурс,Закупка состоялась
77643256-ОК5,265170.990.000048,Система автоматизированная информационно-измерительная для коммерческого и технического учета электроэнергии и устройства телемеханики,14665266-1 Государственные закупки товара по поставке комплектов систем автоматизации для насосных станций,Система автоматизированная информационно-измерительная,5,18 500 000.00,Открытый конкурс,Закупка состоялась
79175060-ОТ2,283051.500.000000,"Косилка навесная, для трактора",15004670-2 Закупки косилки спиннера,Косилка,30,49 553 571.00,Тендер,Закупка состоялась
78738851-ОТ2,283051.500.000000,"Косилка навесная, для трактора",14853049-1 Закупки косилки спиннера,Косилка,5,42 250 000.00,Тендер,Закупка состоялась
75216317-ОК5,262013.000.000022,"Сервер специального назначения, отказоустойчивый",15316358-1 Закуп серверов для виртуализации,Сервер,1,25 000 000.00,Открытый конкурс,Закупка состоялась
74639727-ОК1,262013.000.000022,"Сервер специального назначения, отказоустойчивый",15024834-1 О проведении государственной закупки товара для ГУ «Департамент полиции Карагандинской области Министерства внутренних дел Республики Казахстан»,Сервер,1,93 750 000.00,Открытый конкурс,Закупка состоялась
74640740-ОК2,262013.000.000022,"Сервер специального назначения, отказоустойчивый","14927654-3 Программно-аппаратный комплекс хранения и обработки данных смарт-жетонов на 200 пользователей (БПП ДП ул.Прогресса,1)",Сервер,1,75 892 857.14,Открытый конкурс,Закупка состоялась
74212049-ОК1,262013.000.000022,"Сервер специального назначения, отказоустойчивый",14661360-1 Государственные закупки оборудования гиперконвергентной системы,Сервер,1,108 035 714.28,Открытый конкурс,Закупка состоялась
71698298-ОК1,262013.000.000022,"Сервер специального назначения, отказоустойчивый",14392552-1 Государственные закупки товара для ГУ «Министерство транспорта Республики Казахстан» способом конкурса,Сервер,1,150 000 000.00,Открытый конкурс,Закупка состоялась
73798735-ОК2,262013.000.000022,"Сервер специального назначения, отказоустойчивый",14171494-1 Приобретение серверного оборудования,Сервер,1,17 492 142.86,Открытый конкурс,Закупка состоялась
80118001-ОК3,262013.000.000018,"Сервер общего назначения, стоечный",15682870-1 Сервер в стойку,Сервер,1,26 299 144.60,Открытый конкурс,Закупка состоялась
73986645-ОК1,262013.000.000018,"Сервер общего назначения, стоечный",15445122-1 Приобретение - сервера,Сервер,1,33 605 530.00,Открытый конкурс,Закупка состоялась
80199802-ОК1,262013.000.000018,"Сервер общего назначения, стоечный",15401574-2 Серверное оборудование с установкой и настройкой,Сервер,1,37 500 000.00,Открытый конкурс,Закупка состоялась
79149716-ОК2,262013.000.000018,"Сервер общего назначения, стоечный",15397111-1 Повторные государственные закупки способом конкурса серверов и сканера для нужд ВС РК на 2025 год,Сервер,5,21 875 000.00,Открытый конкурс,Закупка состоялась
79582565-ОК1,262013.000.000018,"Сервер общего назначения, стоечный",15293119-1 Приобретение - сервера,Сервер,1,15 863 590.00,Открытый конкурс,Закупка состоялась
79582684-ОК1,262013.000.000018,"Сервер общего назначения, стоечный",15291474-1 Приобретение системы хранения данных (сервер),Сервер,1,35 117 780.00,Открытый конкурс,Закупка состоялась
74279209-ОК3,262013.000.000018,"Сервер общего назначения, стоечный",15264084-1 система хранения данных (согласно технической спецификаций),Сервер,1,16 278 571.43,Открытый конкурс,Закупка состоялась
79560559-ОК2,262013.000.000018,"Сервер общего назначения, стоечный",15261860-1 Об организации и проведении электронных государственных закупок сервера способом открытого конкурса,Сервер,1,67 046 777.00,Открытый конкурс,Закупка состоялась
79484817-ОК1,262013.000.000018,"Сервер общего назначения, стоечный",15241128-1 Государственные закупки согласно конкурсной документаций,Сервер,1,35 439 500.00,Открытый конкурс,Закупка состоялась
79194407-ОК2,262013.000.000018,"Сервер общего назначения, стоечный",15040241-2 Сервер для Центрального аппарата,Сервер,1,17 857 142.86,Открытый конкурс,Закупка состоялась
75701842-ОК2,262013.000.000018,"Сервер общего назначения, стоечный",15020442-1 Государственные закупки сервера для РГП «Казаэронавигация»,Сервер,2,32 274 052.10,Открытый конкурс,Закупка состоялась
74041636-ОК2,262013.000.000018,"Сервер общего назначения, стоечный",14876877-1 Приобретение серверного оборудование,Сервер,1,34 173 660.72,Открытый конкурс,Закупка состоялась
73998965-ОК3,262013.000.000018,"Сервер общего назначения, стоечный",14808475-1 Доукомплектация установленных систем хранения данных Hewlett Packard Enterprise MSA 2060 дополнительным серверным оборудованием,Сервер,1,52 328 654.46,Открытый конкурс,Закупка состоялась
74474248-ОК1,262013.000.000018,"Сервер общего назначения, стоечный",14793019-1 Государственные закупки для АО «Центр развития трудовых ресурсов» способом открытого конкурса,Сервер,8,202 682 758.88,Открытый конкурс,Закупка состоялась
74593590-ОК2,262013.000.000018,"Сервер общего назначения, стоечный","14716650-1 Сервер (г. Астана, Абая 33 А)",Сервер,2,50 858 660.00,Открытый конкурс,Закупка состоялась
77687594-ОИ2,262013.000.000018,"Сервер общего назначения, стоечный",14454418-1 Сервер общего назначения,Сервер,2,19 000 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
74278793-ОК1,262013.000.000018,"Сервер общего назначения, стоечный",14213391-1 сервер. Согласно технической спецификации,Сервер,1,20 991 071.43,Открытый конкурс,Закупка состоялась
74635557-ОК1,262013.000.000018,"Сервер общего назначения, стоечный",14166349-1 Государственные закупки по приобретению серверов,Сервер,2,17 428 571.42,Открытый конкурс,Закупка состоялась
73816617-ОК1,262013.000.000018,"Сервер общего назначения, стоечный",14159583-1 Государственная закупка серверного оборудования,Сервер,1,205 805 700.89,Открытый конкурс,Закупка состоялась
77491445-ОК1,262013.000.000018,"Сервер общего назначения, стоечный",14108550-1 Приобретение серверного оборудование,Сервер,1,99 866 071.43,Открытый конкурс,Закупка состоялась
73936564-ОИ2,262013.000.000018,"Сервер общего назначения, стоечный",14104373-1 закупки сервера согласно технической спецификации,Сервер,2,23 877 198.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
71913027-ОК1,262013.000.000018,"Сервер общего назначения, стоечный",14103127-1 Государственные закупки для НАО «Фонд социального медицинского страхования» способом открытого конкурса,Сервер,1,661 365 413.39,Открытый конкурс,Закупка состоялась
77491354-ОК1,262013.000.000018,"Сервер общего назначения, стоечный",14086512-1 Приобретение серверного оборудование,Сервер,1,15 491 071.43,Открытый конкурс,Закупка состоялась
72127609-ЗЦП2,262013.000.000018,"Сервер общего назначения, стоечный",13975201-1 Приобретение сервера согласно технической спецификации,Сервер,3,23 137 650.00,Запрос ценовых предложений,Закупка состоялась
80352400-ОК2,262013.000.000016,"Сервер общего назначения, высокопроизводительный с вертикальным масштабированием ресурсов",15565526-1 Приобретение сервера согласно технической спецификации,Сервер,1,19 092 857.14,Открытый конкурс,Закупка состоялась
74923702-ОК2,262013.000.000016,"Сервер общего назначения, высокопроизводительный с вертикальным масштабированием ресурсов",15562363-1 Государственные закупки для ГУ «Департамент полиции Павлодарской области Министерства внутренних дел Республики Казахстан» способом открытого конкурса,Сервер,1,155 125 000.00,Открытый конкурс,Закупка состоялась
80457876-ОИ2,262013.000.000016,"Сервер общего назначения, высокопроизводительный с вертикальным масштабированием ресурсов","15486813-1 Приобретение оборудования (принтер, ноутбук, сканер, сервер)",Сервер,3,25 071 428.55,Из одного источника по несостоявшимся закупкам,Закупка состоялась
79003603-ОК2,262013.000.000016,"Сервер общего назначения, высокопроизводительный с вертикальным масштабированием ресурсов",15059763-1 Приобретение серверного оборудования с развертыванием ситуационного центра,Сервер,1,44 881 250.00,Открытый конкурс,Закупка состоялась
78918847-ОК3,262013.000.000016,"Сервер общего назначения, высокопроизводительный с вертикальным масштабированием ресурсов","15023336-1 Сервер общего назначения, высокопроизводительный",Сервер,1,50 000 000.00,Открытый конкурс,Закупка состоялась
77511978-ОК1,262013.000.000016,"Сервер общего назначения, высокопроизводительный с вертикальным масштабированием ресурсов",14798887-1 Приобретение сервер для ДЧС области Абай,Сервер,2,19 642 857.14,Открытый конкурс,Закупка состоялась
74973989-ОК3,262013.000.000016,"Сервер общего назначения, высокопроизводительный с вертикальным масштабированием ресурсов",14506486-1 Государственные закупки сервера,Сервер,2,18 000 000.00,Открытый конкурс,Закупка состоялась
72230729-ОК3,262013.000.000016,"Сервер общего назначения, высокопроизводительный с вертикальным масштабированием ресурсов",14330002-1 Повторные государственные закупки товара для ГУ «Агентство Республики Казахстан по финансовому мониторингу» способом конкурса,Сервер,1,490 062 500.00,Открытый конкурс,Закупка состоялась
75938575-ОИ2,262013.000.000016,"Сервер общего назначения, высокопроизводительный с вертикальным масштабированием ресурсов",14319431-1 Согласно технической спецификаций,Сервер,2,16 400 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
74093124-ОК1,262013.000.000016,"Сервер общего назначения, высокопроизводительный с вертикальным масштабированием ресурсов",14075908-2 Сервер в комплекте,Сервер,3,60 000 000.00,Открытый конкурс,Закупка состоялась
73798788-ОК1,262013.000.000016,"Сервер общего назначения, высокопроизводительный с вертикальным масштабированием ресурсов",13853855-1 Государственная закупка товара для ГУ «Комитет по правовой статистике и специальным учетам Генеральной прокуратуры Республики Казахстан» способом открытого конкурса,Сервер,1,342 571 428.57,Открытый конкурс,Закупка состоялась
77309586-ЗЦП2,271231.900.000059,"Шкаф управления для насоса, с частотным преобразователем",14776978-1 Приобретение товаров (Инвест),Шкаф управления,1,21 942 000.00,Запрос ценовых предложений,Закупка состоялась
77309586-ЗЦП2,271231.900.000059,"Шкаф управления для насоса, с частотным преобразователем",13976755-1 Приобретение товаров СВиДС и КНС (инвест),Шкаф управления,1,21 942 000.00,Запрос ценовых предложений,Закупка состоялась
36565934-ОЛ-ОК1,273213.700.000036,"Кабель марка ВБбШвнг, напряжение не более 1 000 В","14739226-1 Приобретение Кабель, Проводов для ТОО ""Мангистауский атомный энергетический комбинат""","Кабель, Провод",68,39 323 137.30,Открытый конкурс,Закупка состоялась
36565934-ОЛ-ОК1,273213.700.000278,"Провод марка ПВС, напряжение не более 1 000 В","14739226-1 Приобретение Кабель, Проводов для ТОО ""Мангистауский атомный энергетический комбинат""","Кабель, Провод",68,39 323 137.30,Открытый конкурс,Закупка состоялась
81408000-ОИ3,259411.900.000201,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 20 мм, с гайкой",15951444-1 Услуги финансового лизинга на приобретение транспортных средств,Услуги по финансовому лизингу,1,595 472 124.41,Из одного источника по несостоявшимся закупкам,Закупка состоялась
81407547-ОИ3,259411.900.000201,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 20 мм, с гайкой",15951444-1 Услуги финансового лизинга на приобретение транспортных средств,Услуги по финансовому лизингу,1,762 436 281.25,Из одного источника по несостоявшимся закупкам,Закупка состоялась
75035549-ОК1,259411.900.000201,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 20 мм, с гайкой","15796866-2 Текущий ремонт здание нежилого под офис сельского округа Кажымухан, Ордабасинского района, Туркестанской области",Работы по текущему ремонту нежилых зданий/сооружений/помещений,1,28 001 904.00,Открытый конкурс,Закупка состоялась
81435835-ОИ3,259411.900.000201,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 20 мм, с гайкой","15877149-1 Приобретение здания для ветеринарного пункта в с.Жусандыой Каратобинского района, ЗКО",Здание,1,16 000 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
80397977-ЗЦП2,259411.900.000201,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 20 мм, с гайкой",15875374-1 Приобретение здания ветеринарной пункт в Уялинском сельском округе,Здание,1,15 000 000.00,Запрос ценовых предложений,Закупка состоялась
80891517-ОИ3,259411.900.000201,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 20 мм, с гайкой",15874956-1 Услуги по сделкам в области лизингового кредитования,Услуги по финансовому лизингу,1,321 294 262.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
80927121-ОИ3,259411.900.000201,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 20 мм, с гайкой",15874925-1 Услуги по сделкам в области лизингового кредитования,Услуги по финансовому лизингу,1,230 113 912.50,Из одного источника по несостоявшимся закупкам,Закупка состоялась
76625256-ЗЦП3,259411.900.000201,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 20 мм, с гайкой",15873599-1 Жазатайым оқиғалардан сақтандыру бойынша қызметтер,Услуги по страхованию от несчастных случаев,1,19 111 843.28,Запрос ценовых предложений,Закупка состоялась
81331173-ОИ4,259411.900.000201,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 20 мм, с гайкой",15866884-1 Услуги по финансовому лизингу на приобретение транспортных средств (подметально-вакуумная машина (пылесос) на шасси),Услуги по финансовому лизингу,1,762 436 281.25,Из одного источника по несостоявшимся закупкам,Закупка состоялась
82813737-ЗЦП1,259411.900.000201,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 20 мм, с гайкой",15866788-1 медициналық техниканы сатып алу,Анализатор,2,15 000 000.00,Запрос ценовых предложений,Закупка состоялась
82281036-ОИ2,259411.900.000201,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 20 мм, с гайкой",15864310-1 Колесный трактор 90 л.с.,Трактор,1,15 625 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
81331182-ОИ4,259411.900.000201,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 20 мм, с гайкой",15864272-1 Услуги по финансовому лизингу на приобретение транспортных средств (компактная подметально-уборочная машина),Услуги по финансовому лизингу,1,595 472 124.41,Из одного источника по несостоявшимся закупкам,Закупка состоялась
80373779-ОК2,259411.900.000201,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 20 мм, с гайкой",15863665-1 О проведении повторной государственной закупки товара для РГП на ПХВ “Казаэронавигация” Комитета гражданской авиации Министерства транспорта Республики Казахстан способом открытого конкурса,Топливо дизельное,483606,256 311 180.00,Открытый конкурс,Закупка состоялась
