№ лота,Код ТРУ,Наименование товара,Наименование объявления,Наименование и описание лота,Кол-во,"Сумма, тг.",Способ закупки,Статус
37957540-ОЛ-ОИ4,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062","15512765-1 Закуп товаров для КГУ ""Туркестанская областная специализированная школа-интернат-колледж олимпийского резерва имени Бекзата Саттарханова"" управления физической культуры и спорта Туркестанской области","Закуп товаров для КГУ ""Туркестанская областная специализированная школа-интернат-колледж олимпийского резерва имени Бекзата Саттарханова"" управления физической культуры и спорта Туркестанской области",4,18 054 368.75,Из одного источника по несостоявшимся закупкам,Закупка состоялась
37995535-ОЛ-ОК2,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15469252-1 Дооснащение креативного хаба дополнительным оборудованием,Дооснащение креативного хаба дополнительным оборудованием,12,19 670 356.92,Открытый конкурс,Закупка состоялась
38125813-ОЛ-ЗЦП1,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15424406-1 Приобретение запасных частей,Запасные части,22,30 698 159.94,Запрос ценовых предложений,Закупка состоялась
38160544-ОЛ-ОИ2,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15457142-1 Покупка реабилитационных аппаратов,Покупка реабилитационных аппаратов,5,26 950 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
38189518-ОЛ-ОК1,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15452820-1 Товары для дооснащения креативного центра г.Алматы,Товары для дооснащения креативного центра г.Алматы,15,20 546 427.70,Открытый конкурс,Закупка состоялась
38196275-ОЛ-ЗЦП1,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15455730-1 Продукты для пациентов с заболеванием Целиакия (дети),Продукты питания для пациентов с заболеванием Целиакия (дети)/,43,34 609 028.80,Запрос ценовых предложений,Закупка состоялась
38241541-ОЛ-ЗЦП1,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15477076-1 Государственные закупки строительных материалов (Дрон центр/ДПО),Государственные закупки строительных материалов (Дронцентр/ДПО),11,28 094 775.00,Запрос ценовых предложений,Закупка состоялась
38250730-ОЛ-ОК1,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15481329-1 Противооблединительная жидкость Тип-4 и Противооблединительная жидкость Тип-1 для АО,"Противооблединительная жидкость Тип-4 и Противооблединительная жидкость Тип-1 для АО ""МАТ""",2,27 321 550.00,Открытый конкурс,Закупка состоялась
38252922-ОЛ-ОК1,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062","15482398-1 Реагенты, реактивы, расходные материалы","Реагенты, реактивы, расходные материалы",4,25 505 488.70,Открытый конкурс,Закупка состоялась
38268730-ОЛ-ЗЦП4,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15552783-1 согласно тех спец,согласно тех специфике,55,16 809 735.52,Запрос ценовых предложений,Закупка состоялась
38269804-ОЛ-ЗЦП1,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15490290-1 Приобретение запасных частей на спецтехнику.,Приобретение запасных частей на спецтехнику.,18,16 109 600.00,Запрос ценовых предложений,Закупка состоялась
38270239-ОЛ-ЗЦП1,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15490501-1 Приобретение запасных частей на спецтехнику.,Приобретение запасных частей на спецтехнику.,27,18 818 000.00,Запрос ценовых предложений,Закупка состоялась
38283280-ОЛ-ОК1,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062","15496785-1 Услуги по приобретению, замене и настройке речевых процессоров совместимых с кохлеарным имплантам","Услуги по приобретению, замене и настройке речевых процессоров совместимых с кохлеарным имплантам",2,27 000 000.00,Открытый конкурс,Закупка состоялась
38287732-ОЛ-ЗЦП1,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15498799-1 Строительные материалы для ремонта кровли/,Строительные материалы для ремонта кровли,7,31 867 840.00,Запрос ценовых предложений,Закупка состоялась
38330394-ОЛ-ЗЦП1,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15519348-1 Закуп запчастей для КАП-6,Закуп запасных частей для КАП-6,9,17 260 000.00,Запрос ценовых предложений,Закупка состоялась
38332929-ОЛ-ОК1,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062","15520632-1 Базовый ремонтный комплект (КНС 93,152,41,3)","Базовый ремонтный комплект (КНС 93,152,41,3)",4,15 646 169.62,Открытый конкурс,Закупка состоялась
38353359-ОЛ-ЗЦП1,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15529805-1 Государственные закупки товаров,электротовары,2,41 170 774.00,Запрос ценовых предложений,Закупка состоялась
38358355-ОЛ-ОИ2,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15549182-1 Приобретение автомобильных шин,Шины,8,24 329 500.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
