№ лота,Код ТРУ,Наименование товара,Наименование объявления,Наименование и описание лота,Кол-во,"Сумма, тг.",Способ закупки,Статус
38125813-ОЛ-ЗЦП1,282530.100.000002,"Фильтр воздушный, для приточно-вытяжной вентиляционной установки, карманный",15424406-1 Приобретение запасных частей,Запасные части,22,30 698 159.94,Запрос ценовых предложений,Закупка состоялась
77643256-ОК5,265170.990.000048,Система автоматизированная информационно-измерительная для коммерческого и технического учета электроэнергии и устройства телемеханики,14665266-1 Государственные закупки товара по поставке комплектов систем автоматизации для насосных станций,Система автоматизированная информационно-измерительная,5,18 500 000.00,Открытый конкурс,Закупка состоялась
73458964-ОК3,281314.900.000076,"Насос для химически активных и агрессивных жидкостей, погружной вертикальный, подача до 500 м3/ч",15127220-2 Погружной насосный агрегат (по лотам),Насос,1,79 981 593.75,Открытый конкурс,Закупка состоялась
73343629-ОК2,281314.900.000076,"Насос для химически активных и агрессивных жидкостей, погружной вертикальный, подача до 500 м3/ч",15085430-1 Погружной насосный агрегат,Насос,1,40 259 756.25,Открытый конкурс,Закупка состоялась
79225699-ОК2,281314.900.000076,"Насос для химически активных и агрессивных жидкостей, погружной вертикальный, подача до 500 м3/ч",14987472-2 Погружной насосный агрегат в комплекте с щитом управления,Насос,1,23 408 300.00,Открытый конкурс,Закупка состоялась
73458934-ОК3,281314.900.000076,"Насос для химически активных и агрессивных жидкостей, погружной вертикальный, подача до 500 м3/ч",14138845-1 Погружной насосный агрегат,Насос,3,48 496 125.00,Открытый конкурс,Закупка состоялась
73458964-ОК2,281314.900.000076,"Насос для химически активных и агрессивных жидкостей, погружной вертикальный, подача до 500 м3/ч",14082229-1 Погружной насосный агрегат (по лотам),Насос,1,79 981 593.75,Открытый конкурс,Закупка состоялась
80198506-ОК1,329911.900.000014,Противогаз фильтрующий,15600104-1 Приобретение фильтрующих гражданских противогазов,Противогаз,589,50 215 784.00,Открытый конкурс,Закупка состоялась
74919160-ЗЦП9,329911.900.000014,Противогаз фильтрующий,15421389-1 Закуп противогазов фильтрующих,Противогаз,1262,23 978 000.00,Запрос ценовых предложений,Закупка состоялась
74919160-ОИ8,329911.900.000014,Противогаз фильтрующий,15195521-1 Закуп противогазов фильтрующих,Противогаз,1262,23 978 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
79360314-ОК1,329911.900.000014,Противогаз фильтрующий,14959205-2 Приобретение фильтрующих гражданских противогазов (согл.тех.спец),Противогаз,500,36 767 500.00,Открытый конкурс,Закупка состоялась
74919160-ЗЦП1,329911.900.000014,Противогаз фильтрующий,14708713-1 Приобретение гражданских противогазов,Противогаз,1262,23 978 000.00,Запрос ценовых предложений,Закупка состоялась
73500519-ОК2,329911.900.000014,Противогаз фильтрующий,14145205-1 Приобретение противогаза фильтрующего,Противогаз,2032,58 199 020.00,Открытый конкурс,Закупка состоялась
77621468-ОИ2,281314.900.000071,"Насос для химически активных и агрессивных жидкостей, консольный одноступенчатый, подача до 500 м3/ч",14160841-1 н а с о с,Насос,1,18 500 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
77759370-ОК2,281413.350.000006,"Задвижка клиновая, стальная, условный проход 50-450 мм","14272013-1 Запорная арматура (задвижка клиновая стальная литая DN100, DN150, DN200)",Задвижка,200,39 838 928.00,Открытый конкурс,Закупка состоялась
34153518-ОЛ-ЗЦП1,281413.350.000006,"Задвижка клиновая, стальная, условный проход 50-450 мм",13795274-1 Запорная арматура №2,Запорная арматура №2,34,29 823 875.76,Запрос ценовых предложений,Закупка состоялась
79108187-ОК2,281413.730.000016,"Кран шаровой стальной, условное давление 0-420 Мпа, диаметр 10-1400 мм, ручной","14998307-2 Приобретение задвижки с электроприводом для АО ""Астана-Энергия""",Кран шаровой стальной,1,37 873 922.00,Открытый конкурс,Закупка состоялась
37009592-ОЛ-ЗЦП1,281413.730.000016,"Кран шаровой стальной, условное давление 0-420 Мпа, диаметр 10-1400 мм, ручной",14923517-1 Приобретение кранов шаровых,Приобретение кранов шаровых,21,20 241 170.00,Запрос ценовых предложений,Закупка состоялась
81408000-ОИ3,259411.900.000202,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 14 мм, с гайкой",15951444-1 Услуги финансового лизинга на приобретение транспортных средств,Услуги по финансовому лизингу,1,595 472 124.41,Из одного источника по несостоявшимся закупкам,Закупка состоялась
