№ лота,Код ТРУ,Наименование товара,Наименование объявления,Наименование и описание лота,Кол-во,"Сумма, тг.",Способ закупки,Статус
34371037-ОЛ-ЗЦП1,282913.500.000003,"Фильтр воздушный, для специальной и специализированной техники",13890137-1 Закупка запасных частей для Троллейбусного парка №1 ТОО Алматыэлектротранс,Закупка запасных частей для Троллейбусного парка №1 ТОО Алматыэлектротранс,4,24 380 000.00,Запрос ценовых предложений,Закупка состоялась
76157078-ЗЦП2,281331.000.000127,"Колесо для насоса, рабочее",15809710-1 Рабочее колесо на насос PL7081,Колесо,2,19 235 428.58,Запрос ценовых предложений,Закупка состоялась
38515143-ОЛ-ОК1,281331.000.000127,"Колесо для насоса, рабочее","15603200-1 Рабочее колесо для насосов Flygt (КНС 93,26,54,168,113,134,27,29,39,90,11,50,214,Мастер 2,105)","Рабочее колесо для насосов Flygt (КНС 93,26,54,168,113,134,27,29,39,90,11,50,214, Мастер 2,105)",8,15 389 693.68,Открытый конкурс,Закупка состоялась
76503951-ОК2,292023.900.000003,"Прицеп грузоподъемность более 700 кг, но не более 3000 кг",14224215-1 Специализированное транспортное средство (прицеп),Прицеп,1,18 068 750.00,Открытый конкурс,Закупка состоялась
38125813-ОЛ-ЗЦП1,282530.100.000001,"Фильтр воздушный, для приточно-вытяжной вентиляционной установки, панельный",15424406-1 Приобретение запасных частей,Запасные части,22,30 698 159.94,Запрос ценовых предложений,Закупка состоялась
73671527-ОК2,282530.100.000001,"Фильтр воздушный, для приточно-вытяжной вентиляционной установки, панельный",14103967-1 Фильтры абсолютной очистки воздуха,Фильтр,750,60 000 000.00,Открытый конкурс,Закупка состоялась
79375855-ЗЦП2,262015.000.000006,Устройство сбора данных телеметрии для сбора измерительной информации с приборов контроля и учета,14979732-1 Закуп запчастей (СГМ повтор),Устройство сбора данных телеметрии,1,20 455 360.00,Запрос ценовых предложений,Закупка состоялась
76064277-ЗЦП2,273313.900.000058,Зажим прокалывающий для соединения проводников,"13755024-1 Государственная закупка для АО ""КРЭК""",Зажим прокалывающий,4017,17 299 210.50,Запрос ценовых предложений,Закупка состоялась
78840221-ОК2,282912.300.000036,"Оборудование для фильтрования периодического действия, работающее под давлением столба насоса",14992559-1 Приобретение товара (Оборудование для фильтрования)/,Оборудование для фильтрования,1,15 247 000.00,Открытый конкурс,Закупка состоялась
78567061-ОК2,282912.300.000036,"Оборудование для фильтрования периодического действия, работающее под давлением столба насоса",14566809-1 Приобретение комплексного блок-модуля очистки воды для сел Айыртауского района СКО,Оборудование для фильтрования,7,54 999 999.95,Открытый конкурс,Закупка состоялась
76088404-ОК2,282912.300.000036,"Оборудование для фильтрования периодического действия, работающее под давлением столба насоса",14038750-1 Приобретение комплексного блок-модуля очистки воды для сел Айыртауского района СКО,Оборудование для фильтрования,10,78 571 428.50,Открытый конкурс,Закупка состоялась
35677773-ОЛ-ЗЦП1,282514.190.000000,Фильтр пылеулавливающий,14392499-1 Запасные части для ВОЗДУШНЫЕ ФИЛЬТРА (техническая служба),Запасные части для ВОЗДУШНЫЕ ФИЛЬТРА (техническая служба),42,30 117 500.00,Запрос ценовых предложений,Закупка состоялась
77228834-ЗЦП2,292023.300.000017,"Полуприцеп-тяжеловоз грузоподъемность более 50 т, но не более 60 т",15415722-1 Приобретение тралла для тягача,Полуприцеп-тяжеловоз,1,22 767 857.14,Запрос ценовых предложений,Закупка состоялась
78123131-ОК2,292023.300.000017,"Полуприцеп-тяжеловоз грузоподъемность более 50 т, но не более 60 т",14757565-1 Приобретение транспортных средств,Полуприцеп-тяжеловоз,1,35 000 000.00,Открытый конкурс,Закупка состоялась
78968518-ЗЦП2,292023.300.000017,"Полуприцеп-тяжеловоз грузоподъемность более 50 т, но не более 60 т",14736843-1 приобретение спецтранспорта трал,Полуприцеп-тяжеловоз,1,20 000 000.00,Запрос ценовых предложений,Закупка состоялась
77659414-ОК2,292023.300.000017,"Полуприцеп-тяжеловоз грузоподъемность более 50 т, но не более 60 т",14389171-1 Приобретение полуприцеп тяжеловоз,Полуприцеп-тяжеловоз,1,20 000 000.00,Открытый конкурс,Закупка состоялась
76589421-ОК3,292023.300.000017,"Полуприцеп-тяжеловоз грузоподъемность более 50 т, но не более 60 т",14315949-1 Государственные закупки согласно конкурсной документации (Приобретение полуприцепа,Полуприцеп-тяжеловоз,1,18 750 000.00,Открытый конкурс,Закупка состоялась
