№ лота,Код ТРУ,Наименование товара,Наименование объявления,Наименование и описание лота,Кол-во,"Сумма, тг.",Способ закупки,Статус
33575556-ОЛ-ЗЦП1,203022.100.000000,Краска алкидная,13503363-1 Закупка лакокрасочных изделий,Закупка лакокрасочных изделий,3,23 169 595.00,Запрос ценовых предложений,Закупка состоялась
33743386-ОЛ-ЗЦП1,204132.750.000000,"Средство моющее для мытья стекол и зеркальных поверхностей, жидкость",13592114-1 Закуп моющих товаров по списку,Закуп моющих товаров по списку,6,15 605 542.96,Запрос ценовых предложений,Закупка состоялась
33743386-ОЛ-ЗЦП1,204132.570.000000,"Средство моющее для мытья посуды, гель",13592114-1 Закуп моющих товаров по списку,Закуп моющих товаров по списку,6,15 605 542.96,Запрос ценовых предложений,Закупка состоялась
33743386-ОЛ-ЗЦП1,204132.590.000006,"Средство моющее для чистки ванн и раковин, порошок",13592114-1 Закуп моющих товаров по списку,Закуп моющих товаров по списку,6,15 605 542.96,Запрос ценовых предложений,Закупка состоялась
33743386-ОЛ-ЗЦП1,204132.590.000032,"Порошок  стиральный, для изделий из различных тканей",13592114-1 Закуп моющих товаров по списку,Закуп моющих товаров по списку,6,15 605 542.96,Запрос ценовых предложений,Закупка состоялась
34018262-ОЛ-ЗЦП1,139211.300.000000,Одеяло,13732035-1 Приобретение постельных принадлежностей согласно технической характеристике,Приобретение постельных принадлежностей согласно технической характеристике,7,25 406 397.00,Запрос ценовых предложений,Закупка состоялась
34018262-ОЛ-ЗЦП1,139212.500.010003,Простыня,13732035-1 Приобретение постельных принадлежностей согласно технической характеристике,Приобретение постельных принадлежностей согласно технической характеристике,7,25 406 397.00,Запрос ценовых предложений,Закупка состоялась
34018262-ОЛ-ЗЦП1,139212.500.010001,Наволочка,13732035-1 Приобретение постельных принадлежностей согласно технической характеристике,Приобретение постельных принадлежностей согласно технической характеристике,7,25 406 397.00,Запрос ценовых предложений,Закупка состоялась
34018262-ОЛ-ЗЦП1,139224.992.000000,Подушка,13732035-1 Приобретение постельных принадлежностей согласно технической характеристике,Приобретение постельных принадлежностей согласно технической характеристике,7,25 406 397.00,Запрос ценовых предложений,Закупка состоялась
34018262-ОЛ-ЗЦП1,139214.900.010005,Полотенце,13732035-1 Приобретение постельных принадлежностей согласно технической характеристике,Приобретение постельных принадлежностей согласно технической характеристике,7,25 406 397.00,Запрос ценовых предложений,Закупка состоялась
34097309-ОЛ-ОК1,221960.300.010000,"Перчатки одноразовые, латексные, стерильные",13770649-1 Перчатки хирургические латексные неопудренные стерильные.,Перчатки хирургические латексные неопудренные стерильные.,5,17 852 400.00,Открытый конкурс,Закупка состоялась
34371037-ОЛ-ЗЦП1,273213.700.000084,"Кабель марка КГ, напряжение не более 1 000 В",13890137-1 Закупка запасных частей для Троллейбусного парка №1 ТОО Алматыэлектротранс,Закупка запасных частей для Троллейбусного парка №1 ТОО Алматыэлектротранс,4,24 380 000.00,Запрос ценовых предложений,Закупка состоялась
34371037-ОЛ-ЗЦП1,282913.500.000003,"Фильтр воздушный, для специальной и специализированной техники",13890137-1 Закупка запасных частей для Троллейбусного парка №1 ТОО Алматыэлектротранс,Закупка запасных частей для Троллейбусного парка №1 ТОО Алматыэлектротранс,4,24 380 000.00,Запрос ценовых предложений,Закупка состоялась
34661410-ОЛ-ЗЦП1,204131.900.000000,"Мыло туалетное, жидкое",14007908-1 приобретение хоз товаров,приобретение хоз товаров,5,15 351 135.00,Запрос ценовых предложений,Закупка состоялась
34661410-ОЛ-ЗЦП1,204131.900.000001,"Мыло туалетное, твердое",14007908-1 приобретение хоз товаров,приобретение хоз товаров,5,15 351 135.00,Запрос ценовых предложений,Закупка состоялась
34661410-ОЛ-ЗЦП1,204131.950.000000,"Мыло хозяйственное, твердое",14007908-1 приобретение хоз товаров,приобретение хоз товаров,5,15 351 135.00,Запрос ценовых предложений,Закупка состоялась
34716563-ОЛ-ОИ2,236111.500.000196,"Плита для колодца железобетонная, тип ПН15",14062327-1 Закуп плит для колодцев(СКСиП повтор),Плита для колодца,6,22 743 676.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
34716563-ОЛ-ОИ2,236111.500.000197,"Плита для колодца железобетонная, тип ПН20",14062327-1 Закуп плит для колодцев(СКСиП повтор),Плита для колодца,6,22 743 676.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
