Loaded TRU codes: 3435
[1/3435] 282520.900.000004: parsed=0 listed_total=0 aggregate_rows=0
[2/3435] 282520.300.000001: parsed=0 listed_total=0 aggregate_rows=0
[3/3435] 263060.000.000004: parsed=0 listed_total=0 aggregate_rows=0
[4/3435] 281332.000.000180: parsed=0 listed_total=0 aggregate_rows=0
[5/3435] 282512.700.000001: parsed=0 listed_total=0 aggregate_rows=0
[6/3435] 282520.900.000007: parsed=0 listed_total=0 aggregate_rows=0
[7/3435] 282520.300.000002: parsed=0 listed_total=0 aggregate_rows=0
[8/3435] 282520.900.000003: parsed=0 listed_total=0 aggregate_rows=0
[9/3435] 282512.700.000000: parsed=0 listed_total=0 aggregate_rows=0
[10/3435] 265170.990.000048: parsed=1 listed_total=1 aggregate_rows=1
[11/3435] 281314.900.000131: parsed=0 listed_total=0 aggregate_rows=1
[12/3435] 329911.900.000014: parsed=6 listed_total=6 aggregate_rows=7
[13/3435] 282530.100.000002: parsed=1 listed_total=1 aggregate_rows=8
[14/3435] 259411.900.000176: parsed=0 listed_total=0 aggregate_rows=8
[15/3435] 281314.900.000076: parsed=5 listed_total=5 aggregate_rows=13
[16/3435] 259411.900.000173: parsed=0 listed_total=0 aggregate_rows=13
[17/3435] 259411.900.000175: parsed=0 listed_total=0 aggregate_rows=13
[18/3435] 259411.900.000191: parsed=0 listed_total=0 aggregate_rows=13
[19/3435] 259411.900.000174: parsed=0 listed_total=0 aggregate_rows=13
[20/3435] 259411.900.000172: parsed=0 listed_total=0 aggregate_rows=13
[21/3435] 259411.900.000178: parsed=0 listed_total=0 aggregate_rows=13
[22/3435] 259411.900.000138: parsed=0 listed_total=0 aggregate_rows=13
[23/3435] 259411.900.000207: parsed=0 listed_total=0 aggregate_rows=13
[24/3435] 259411.900.000143: parsed=0 listed_total=0 aggregate_rows=13
[25/3435] 259411.900.000179: parsed=0 listed_total=0 aggregate_rows=13
[26/3435] 282530.100.000019: parsed=0 listed_total=0 aggregate_rows=13
[27/3435] 259411.900.000189: parsed=0 listed_total=0 aggregate_rows=13
[28/3435] 259411.900.000153: parsed=0 listed_total=0 aggregate_rows=13
[29/3435] 259411.900.000152: parsed=0 listed_total=0 aggregate_rows=13
[30/3435] 259411.900.000139: parsed=0 listed_total=0 aggregate_rows=13
[31/3435] 259411.900.000188: parsed=0 listed_total=0 aggregate_rows=13
[32/3435] 259411.900.000182: parsed=0 listed_total=0 aggregate_rows=13
[33/3435] 259411.900.000196: parsed=0 listed_total=0 aggregate_rows=13
[34/3435] 259411.900.000180: parsed=0 listed_total=0 aggregate_rows=13
[35/3435] 259411.900.000177: parsed=0 listed_total=0 aggregate_rows=13
[36/3435] 259411.900.000192: parsed=0 listed_total=0 aggregate_rows=13
[37/3435] 259411.900.000144: parsed=0 listed_total=0 aggregate_rows=13
[38/3435] 259411.900.000170: parsed=0 listed_total=0 aggregate_rows=13
[39/3435] 259411.900.000147: parsed=0 listed_total=0 aggregate_rows=13
[40/3435] 259411.900.000137: parsed=0 listed_total=0 aggregate_rows=13
[41/3435] 259411.900.000145: parsed=0 listed_total=0 aggregate_rows=13
[42/3435] 259411.900.000185: parsed=0 listed_total=0 aggregate_rows=13
[43/3435] 259411.900.000151: parsed=0 listed_total=0 aggregate_rows=13
[44/3435] 259411.900.000181: parsed=0 listed_total=0 aggregate_rows=13
[45/3435] 259411.900.000200: parsed=0 listed_total=0 aggregate_rows=13
[46/3435] 259411.900.000150: parsed=0 listed_total=0 aggregate_rows=13
[47/3435] 259411.900.000149: parsed=0 listed_total=0 aggregate_rows=13
[48/3435] 259411.900.000136: parsed=0 listed_total=0 aggregate_rows=13
[49/3435] 259411.900.000194: parsed=0 listed_total=0 aggregate_rows=13
[50/3435] 259411.900.000141: parsed=0 listed_total=0 aggregate_rows=13
[51/3435] 259411.900.000140: parsed=0 listed_total=0 aggregate_rows=13
[52/3435] 259411.900.000193: parsed=0 listed_total=0 aggregate_rows=13
[53/3435] 259411.900.000184: parsed=0 listed_total=0 aggregate_rows=13
[54/3435] 259411.900.000183: parsed=0 listed_total=0 aggregate_rows=13
[55/3435] 259411.900.000154: parsed=0 listed_total=0 aggregate_rows=13
[56/3435] 259411.900.000195: parsed=0 listed_total=0 aggregate_rows=13
[57/3435] 259411.900.000190: parsed=0 listed_total=0 aggregate_rows=13
[58/3435] 259411.900.000171: parsed=0 listed_total=0 aggregate_rows=13
[59/3435] 259411.900.000142: parsed=0 listed_total=0 aggregate_rows=13
[60/3435] 259411.900.000187: parsed=0 listed_total=0 aggregate_rows=13
[61/3435] 259411.900.000186: parsed=0 listed_total=0 aggregate_rows=13
[62/3435] 259411.900.000198: parsed=0 listed_total=0 aggregate_rows=13
[63/3435] 259411.900.000214: parsed=0 listed_total=0 aggregate_rows=13
[64/3435] 259411.900.000077: parsed=0 listed_total=0 aggregate_rows=13
[65/3435] 259411.900.000075: parsed=0 listed_total=0 aggregate_rows=13
[66/3435] 259411.900.000146: parsed=0 listed_total=0 aggregate_rows=13
[67/3435] 259411.900.000072: parsed=0 listed_total=0 aggregate_rows=13
[68/3435] 259411.900.000076: parsed=0 listed_total=0 aggregate_rows=13
[69/3435] 259411.900.000073: parsed=0 listed_total=0 aggregate_rows=13
[70/3435] 259411.900.000068: parsed=0 listed_total=0 aggregate_rows=13
[71/3435] 259411.900.000065: parsed=0 listed_total=0 aggregate_rows=13
[72/3435] 259411.900.000071: parsed=0 listed_total=0 aggregate_rows=13
[73/3435] 282520.900.000006: parsed=0 listed_total=0 aggregate_rows=13
[74/3435] 259411.900.000078: parsed=0 listed_total=0 aggregate_rows=13
