Код ТРУ,Название,Причина
275115.500,Кухонная вытяжка (СКПП),Неполный формат кода
242040.100,"Фитинги для труб стальные, не литые",Неполный формат кода
242040.500,"Фитинги для труб стальные, не литые",Неполный формат кода
242040.700,"Фитинги для труб стальные, не литые",Неполный формат кода
242040.803,Фланец,Неполный формат кода
242040.863,Фланец,Неполный формат кода
242040.981,Фланец,Неполный формат кода
242040.984,Фланец,Неполный формат кода
242040.986,Фланец,Неполный формат кода
242040.988,Фланец,Неполный формат кода
243311.322,"Профиль стальной (направляющие, потолочный, опорный, шляпный)",Неполный формат кода
243311.328,"Профиль стальной (направляющие, потолочный, опорный, шляпный)",Неполный формат кода
243311.333,"Профиль стальной (направляющие, потолочный, опорный, шляпный)",Неполный формат кода
243330.926,Сэндвич-панель,Неполный формат кода
243330.974,Сэндвич-панель,Неполный формат кода
243411.300,Проволока (сталь),Неполный формат кода
243411.310,Проволока (сталь),Неполный формат кода
243411.320,Проволока (сталь),Неполный формат кода
243411.700,Проволока (сталь),Неполный формат кода
242012.100,"Стальные бесшовные трубы для нефтегазового сектора (нефтегазопроводные, насосно-компрессорные, для геологоразведочного бурения)",Неполный формат кода
242012.202,"Стальные бесшовные трубы для нефтегазового сектора (нефтегазопроводные, насосно-компрессорные, для геологоразведочного бурения)",Неполный формат кода
242012.210,"Стальные бесшовные трубы для нефтегазового сектора (нефтегазопроводные, насосно-компрессорные, для геологоразведочного бурения)",Неполный формат кода
242012.227,"Стальные бесшовные трубы для нефтегазового сектора (нефтегазопроводные, насосно-компрессорные, для геологоразведочного бурения)",Неполный формат кода
242012.243,"Стальные бесшовные трубы для нефтегазового сектора (нефтегазопроводные, насосно-компрессорные, для геологоразведочного бурения)",Неполный формат кода
242012.245,"Стальные бесшовные трубы для нефтегазового сектора (нефтегазопроводные, насосно-компрессорные, для геологоразведочного бурения)",Неполный формат кода
242012.247,"Стальные бесшовные трубы для нефтегазового сектора (нефтегазопроводные, насосно-компрессорные, для геологоразведочного бурения)",Неполный формат кода
241019.62,Стальная строительная арматура,Неполный формат кода
259311.330,Трос,Неполный формат кода
259313.190,Металлическая сетка,Неполный формат кода
259313.900,,Неполный формат кода
12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",Неполный формат кода
