Код ТРУ,Название,Причина пропуска
275115.500,Кухонная вытяжка (СКПП),non_full_enstru_code
242040.100,"Фитинги для труб стальные, не литые",non_full_enstru_code
242040.500,"Фитинги для труб стальные, не литые",non_full_enstru_code
242040.700,"Фитинги для труб стальные, не литые",non_full_enstru_code
242040.803,Фланец,non_full_enstru_code
242040.863,Фланец,non_full_enstru_code
242040.981,Фланец,non_full_enstru_code
242040.984,Фланец,non_full_enstru_code
242040.986,Фланец,non_full_enstru_code
242040.988,Фланец,non_full_enstru_code
243311.322,"Профиль стальной (направляющие, потолочный, опорный, шляпный)",non_full_enstru_code
243311.328,"Профиль стальной (направляющие, потолочный, опорный, шляпный)",non_full_enstru_code
243311.333,"Профиль стальной (направляющие, потолочный, опорный, шляпный)",non_full_enstru_code
243330.926,Сэндвич-панель,non_full_enstru_code
243330.974,Сэндвич-панель,non_full_enstru_code
243411.300,Проволока (сталь),non_full_enstru_code
243411.310,Проволока (сталь),non_full_enstru_code
243411.320,Проволока (сталь),non_full_enstru_code
243411.700,Проволока (сталь),non_full_enstru_code
242012.100,"Стальные бесшовные трубы для нефтегазового сектора (нефтегазопроводные, насосно-компрессорные, для геологоразведочного бурения)",non_full_enstru_code
242012.202,"Стальные бесшовные трубы для нефтегазового сектора (нефтегазопроводные, насосно-компрессорные, для геологоразведочного бурения)",non_full_enstru_code
242012.210,"Стальные бесшовные трубы для нефтегазового сектора (нефтегазопроводные, насосно-компрессорные, для геологоразведочного бурения)",non_full_enstru_code
242012.227,"Стальные бесшовные трубы для нефтегазового сектора (нефтегазопроводные, насосно-компрессорные, для геологоразведочного бурения)",non_full_enstru_code
242012.243,"Стальные бесшовные трубы для нефтегазового сектора (нефтегазопроводные, насосно-компрессорные, для геологоразведочного бурения)",non_full_enstru_code
242012.245,"Стальные бесшовные трубы для нефтегазового сектора (нефтегазопроводные, насосно-компрессорные, для геологоразведочного бурения)",non_full_enstru_code
242012.247,"Стальные бесшовные трубы для нефтегазового сектора (нефтегазопроводные, насосно-компрессорные, для геологоразведочного бурения)",non_full_enstru_code
241019.62,Стальная строительная арматура,non_full_enstru_code
259311.330,Трос,non_full_enstru_code
259313.190,Металлическая сетка,non_full_enstru_code
259313.900,,non_full_enstru_code
12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",non_full_enstru_code
259411.900.000202,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 14 мм, с гайкой",ignored_filter_fallback_signature
259411.900.000201,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 20 мм, с гайкой",ignored_filter_fallback_signature
