№ лота,Код ТРУ,Наименование товара,Наименование объявления,Наименование и описание лота,Кол-во,"Сумма, тг.",Способ закупки,Статус
36281190-ОЛ-ОИ2,141913.100.010003,Перчатки,14651540-1 Приобретение спецодежды и СИЗ для нужд производственных подразделений предприятия,Приобретение спецодежды и СИЗ для нужд производственных подразделений предприятия,17,17 459 620.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
34165569-ОЛ-ОИ2,152032.990.000022,Полуботинки,13833167-1 Приобретение форменного обмундирования (обувь),Приобретение форменного обмундирования (обувь),6,15 207 401.82,Из одного источника по несостоявшимся закупкам,Закупка состоялась
36046795-ОЛ-ОК1,202014.300.000000,"Средство дезинфицирующее на основе этанола, 2-пропанола, 1-пропанола, хлорид цетримония",14539168-1 Приобретение дезинфицирующих средств,Приобретение дезинфицирующих средств,10,171 656 337.00,Открытый конкурс,Закупка состоялась
74923744-ОК7,202014.300.000000,"Средство дезинфицирующее на основе этанола, 2-пропанола, 1-пропанола, хлорид цетримония",15212167-1 Приобретение дезинфицирующих средств,Средство дезинфицирующее,1003,20 210 450.00,Открытый конкурс,Закупка состоялась
36046795-ОЛ-ОК1,202014.900.000013,Средство дезинфицирующее на основе полихлоросульфат алюминия,14539168-1 Приобретение дезинфицирующих средств,Приобретение дезинфицирующих средств,10,171 656 337.00,Открытый конкурс,Закупка состоялась
36046795-ОЛ-ОК1,204132.590.000024,"Средство моющее для любых видов поверхностей, жидкость",14539168-1 Приобретение дезинфицирующих средств,Приобретение дезинфицирующих средств,10,171 656 337.00,Открытый конкурс,Закупка состоялась
72840085-АУК3,239919.100.000020,"Мат теплоизоляционный из минеральной ваты, марка МВС-125",14824372-1 Приобретение дезинфекционных матов,Мат теплоизоляционный,336,15 758 702.40,Аукцион,Закупка состоялась
38189518-ОЛ-ОК1,273213.300.000000,Кабель специализированный для микрофона,15452820-1 Товары для дооснащения креативного центра г.Алматы,Товары для дооснащения креативного центра г.Алматы,15,20 546 427.70,Открытый конкурс,Закупка состоялась
79674783-ЗЦП3,281314.900.000045,"Насос для воды и других чистых, химически нейтральных жидкостей, сетевой, подача 500-5000 м3/ч",15134461-1 Сетевой насос в комплекте с электродвигателем,Насос,1,18 495 178.58,Запрос ценовых предложений,Закупка состоялась
80178568-ОК1,281314.900.000045,"Насос для воды и других чистых, химически нейтральных жидкостей, сетевой, подача 500-5000 м3/ч",15366582-1 «Приобретение сетевого насос в комплекте с электродигателем КГП «Тепловодоцентраль города Серебрянск и поселка Новая Бухтарма акимата района Алтай»,Насос,1,18 495 178.58,Открытый конкурс,Закупка состоялась
