Код ТРУ,Название
282512.700.000000,"Установка приточная для вентиляции, производительность 3 000 м3/час"
282512.700.000001,"Установка приточная для вентиляции, производительность 6 800 м3/час"
282520.300.000001,"Вентилятор осевой, одноступенчатый, диаметр 300-800 мм"
282520.300.000002,"Вентилятор осевой, одноступенчатый, диаметр 800-1600 мм"
282520.900.000003,Вентилятор крышной
282520.900.000004,Вентилятор канальный
282520.900.000006,"Вентилятор центробежный, односторонний, диаметр 300-800 мм"
282520.900.000007,"Вентилятор центробежный, односторонний, диаметр 800-1600 мм"
263060.000.000004,Клапан огнезадерживающий для предотвращения распространения огня через воздуховоды
281332.000.000180,Шумоглушитель для систем вентиляции
282530.100.000002,"Фильтр воздушный, для приточно-вытяжной вентиляционной установки, карманный"
282530.100.000019,"Фильтр воздушный, для приточно-вытяжной вентиляционной установки, кассетный"
329911.900.000014,Противогаз фильтрующий
265170.990.000048,Система автоматизированная информационно-измерительная для коммерческого и технического учета электроэнергии и устройства телемеханики
281314.900.000076,"Насос для химически активных и агрессивных жидкостей, погружной вертикальный, подача до 500 м3/ч"
281314.900.000071,"Насос для химически активных и агрессивных жидкостей, консольный одноступенчатый, подача до 500 м3/ч"
281314.900.000131,"Насос шламовый, подача 651-25000 м3/ч"
259411.900.000176,"Шпилька для фланцевых соединений стальная, диаметр 36 мм, с гайкой"
259411.900.000189,"Шпилька для фланцевых соединений стальная, диаметр 27 мм, с гайкой"
259411.900.000173,"Шпилька для фланцевых соединений стальная, диаметр 20 мм, с гайкой"
259411.900.000175,"Шпилька для фланцевых соединений стальная, диаметр 30 мм, с гайкой"
259411.900.000191,"Шпилька для фланцевых соединений стальная, диаметр 22 мм, с гайкой"
259411.900.000172,"Шпилька для фланцевых соединений стальная, диаметр 16 мм, с гайкой"
259411.900.000174,"Шпилька для фланцевых соединений стальная, диаметр 24 мм, с гайкой"
259411.900.000180,"Шпилька для фланцевых соединений стальной, диаметр 64 мм, с гайкой"
259411.900.000143,"Шпилька для фланцевых соединений стальная, диаметр 42 мм, без гайки"
259411.900.000179,"Шпилька для фланцевых соединений стальная, диаметр 56 мм, с гайкой"
259411.900.000207,"Шпилька для фланцевых соединений стальная, диаметр 44 мм, с гайкой"
259411.900.000138,"Шпилька для фланцевых соединений стальная, диаметр 16 мм, без гайки"
259411.900.000178,"Шпилька для фланцевых соединений стальная, диаметр 48 мм, с гайкой"
259411.900.000151,"Шпилька для фланцевых соединений стальная, диаметр 110 мм, без гайки"
259411.900.000152,"Шпилька для фланцевых соединений стальная, диаметр 125 мм, без гайки"
259411.900.000182,"Шпилька для фланцевых соединений стальной, диаметр 80 мм, с гайкой"
259411.900.000139,"Шпилька для фланцевых соединений стальная, диаметр 20 мм, без гайки"
259411.900.000153,"Шпилька для фланцевых соединений стальная, диаметр 140 мм, без гайки"
259411.900.000188,"Шпилька для фланцевых соединений стальной, диаметр 160 мм, с гайкой"
259411.900.000196,"Шпилька для фланцевых соединений стальная, диаметр 60 мм, без гайки"
259411.900.000140,"Шпилька для фланцевых соединений стальная, диаметр 24 мм, без гайки"
259411.900.000177,"Шпилька для фланцевых соединений стальная, диаметр 42 мм, с гайкой"
259411.900.000192,"Шпилька для фланцевых соединений стальная, диаметр 22 мм, без гайки"
259411.900.000141,"Шпилька для фланцевых соединений стальная, диаметр 30 мм, без гайки"
259411.900.000144,"Шпилька для фланцевых соединений стальная, диаметр 48 мм, без гайки"
259411.900.000170,"Шпилька для фланцевых соединений стальная, диаметр 10 мм, с гайкой"
259411.900.000137,"Шпилька для фланцевых соединений стальная, диаметр 12 мм, без гайки"
259411.900.000145,"Шпилька для фланцевых соединений стальная, диаметр 56 мм, без гайки"
259411.900.000185,"Шпилька для фланцевых соединений стальной, диаметр 110 мм, с гайкой"
259411.900.000147,"Шпилька для фланцевых соединений стальная, диаметр 72 мм, без гайки"
259411.900.000181,"Шпилька для фланцевых соединений стальной, диаметр 72 мм, с гайкой"
259411.900.000200,"Шпилька для фланцевых соединений стальная, диаметр 18 мм, с гайкой"
259411.900.000150,"Шпилька для фланцевых соединений стальная, диаметр 100 мм, без гайки"
259411.900.000148,"Шпилька для фланцевых соединений стальная, диаметр 80 мм, без гайки"
259411.900.000149,"Шпилька для фланцевых соединений стальная, диаметр 90 мм, без гайки"
259411.900.000194,"Шпилька для фланцевых соединений стальная, диаметр 52 мм, без гайки"
259411.900.000136,"Шпилька для фланцевых соединений стальная, диаметр 10 мм, без гайки"
259411.900.000146,"Шпилька для фланцевых соединений стальная, диаметр 64 мм, без гайки"
259411.900.000184,"Шпилька для фланцевых соединений стальной, диаметр 100 мм, с гайкой"
259411.900.000193,"Шпилька для фланцевых соединений стальная, диаметр 52 мм, с гайкой"
259411.900.000183,"Шпилька для фланцевых соединений стальной, диаметр 90 мм, с гайкой"
259411.900.000190,"Шпилька для фланцевых соединений стальная, диаметр 27 мм, без гайки"
259411.900.000195,"Шпилька для фланцевых соединений стальная, диаметр 60 мм, с гайкой"
259411.900.000154,"Шпилька для фланцевых соединений стальная, диаметр 160 мм, без гайки"
259411.900.000171,"Шпилька для фланцевых соединений стальная, диаметр 12 мм, с гайкой"
259411.900.000142,"Шпилька для фланцевых соединений стальная, диаметр 36 мм, без гайки"
259411.900.000187,"Шпилька для фланцевых соединений стальной, диаметр 140 мм, с гайкой"
259411.900.000186,"Шпилька для фланцевых соединений стальной, диаметр 125 мм, с гайкой"
259411.900.000198,"Шпилька для фланцевых соединений стальная, диаметр 33 мм, с гайкой"
259411.900.000214,"Шпилька для деталей с гладкими поверхностями стальная, диаметр 27 мм, без гайки"
259411.900.000077,"Шпилька для деталей с гладкими поверхностями стальная, диаметр 36 мм, без гайки"
259411.900.000075,"Шпилька для деталей с гладкими поверхностями стальная, диаметр 24 мм, без гайки"
259411.900.000076,"Шпилька для деталей с гладкими поверхностями стальная, диаметр 30 мм, без гайки"
259411.900.000067,"Шпилька для деталей с гладкими поверхностями стальная, диаметр 4 мм, без гайки"
259411.900.000072,"Шпилька для деталей с гладкими поверхностями стальная, диаметр 12 мм, без гайки"
259411.900.000073,"Шпилька для деталей с гладкими поверхностями стальная, диаметр 16 мм, без гайки"
259411.900.000068,"Шпилька для деталей с гладкими поверхностями стальная, диаметр 5 мм, без гайки"
259411.900.000065,"Шпилька для деталей с гладкими поверхностями стальная, диаметр 2,5 мм, без гайки"
259411.900.000071,"Шпилька для деталей с гладкими поверхностями стальная, диаметр 10 мм, без гайки"
259411.900.000070,"Шпилька для деталей с гладкими поверхностями стальная, диаметр 8 мм, без гайки"
259411.900.000078,"Шпилька для деталей с гладкими поверхностями стальная, диаметр 42 мм, без гайки"
259411.900.000066,"Шпилька для деталей с гладкими поверхностями стальная, диаметр 3 мм, без гайки"
259411.900.000069,"Шпилька для деталей с гладкими поверхностями стальная, диаметр 6 мм, без гайки"
259411.900.000079,"Шпилька для деталей с гладкими поверхностями стальная, диаметр 48 мм, без гайки"
259411.900.000064,"Шпилька для деталей с гладкими поверхностями стальная, диаметр 2 мм, без гайки"
259411.900.000074,"Шпилька для деталей с гладкими поверхностями стальная, диаметр 20 мм, без гайки"
